,currency,value,value_high
2013-01-01,usd,1.244,1.332
2013-01-07,usd,1.2880000000000003,1.332
2013-01-09,usd,1.2880000000000003,1.3760000000000001
2013-01-15,usd,1.332,1.3760000000000001
2013-01-19,usd,1.332,1.42
2013-01-29,usd,1.332,1.4640000000000002
2013-02-02,usd,1.3760000000000001,1.42
2013-02-04,usd,1.3072,1.4640000000000002
2013-02-08,usd,1.349,1.4640000000000002
2013-02-15,usd,1.349,1.508
2013-02-20,usd,1.3176,1.4326
2013-02-24,usd,1.3176,1.4744
2013-02-28,usd,1.3572,1.4744
2013-03-03,usd,1.3572,1.52
2013-03-04,usd,1.3579999999999999,1.48
2013-03-09,usd,1.3579999999999999,1.5207000000000002
2013-03-13,usd,1.4,1.5207000000000002
2013-03-21,usd,1.4,1.4769999999999999
2013-03-25,usd,1.4385000000000001,1.4769999999999999
2013-03-28,usd,1.4385000000000001,1.5154999999999998
2013-03-30,usd,1.4769999999999999,1.5154999999999998
2013-04-06,usd,1.5154999999999998,1.554
2013-04-11,usd,1.5154999999999998,1.5924999999999998
2013-04-13,usd,1.554,1.631
2013-04-16,usd,1.5924999999999998,1.631
2013-04-21,usd,1.5924999999999998,1.6694999999999998
2013-04-22,usd,1.631,1.6694999999999998
2013-04-23,usd,1.631,1.708
2013-04-26,usd,1.6694999999999998,1.75
2013-04-28,usd,1.708,1.75
2013-04-29,usd,1.631,1.75
2013-05-01,usd,1.631,1.7885
2013-05-02,usd,1.6694999999999998,1.7885
2013-05-07,usd,1.75,1.7885
2013-05-18,usd,1.75,1.8269999999999997
2013-05-24,usd,1.7885,1.8655
2013-06-02,usd,1.8269999999999997,1.904
2013-06-10,usd,1.8655,1.904
2013-06-19,usd,1.8655,1.9425
2013-06-27,usd,1.7952000000000001,1.9425
2013-07-05,usd,1.7952000000000001,1.9809999999999999
2013-07-15,usd,1.8315000000000001,1.9809999999999999
2013-07-22,usd,1.8678000000000001,2.0195
2013-08-05,usd,1.8678000000000001,2.058
2013-08-13,usd,1.9041,2.058
2013-08-21,usd,1.9041,2.0999999999999996
2013-09-12,usd,1.8228,1.98
2013-09-24,usd,1.7999999999999998,1.92
2013-10-10,usd,1.7999999999999998,1.9552
2013-10-26,usd,1.833,1.9904
2013-10-27,usd,1.833,1.9552
2013-11-10,usd,1.833,1.9904
2013-11-20,usd,1.9282,1.9904
2013-12-01,usd,1.9282,2.0256
2013-12-12,usd,1.899,2.0608
2013-12-18,usd,1.932,2.096
2013-12-24,usd,2.0309999999999997,2.2016
2014-01-03,usd,2.1,2.24
2014-02-23,usd,1.82,1.9908000000000003
2014-03-07,usd,1.8486000000000002,1.9908000000000003
2014-03-20,usd,1.8486000000000002,2.0216000000000003
2014-03-29,usd,1.8325,1.9344000000000001
2014-04-12,usd,1.86,1.9344000000000001
2014-04-22,usd,1.86,1.963
2014-05-04,usd,1.8875,1.915
2014-05-12,usd,1.915,1.9425
2014-05-18,usd,1.8647999999999998,2.0
2014-05-24,usd,1.92,2.0275
2014-05-30,usd,1.9728,2.0825
2014-06-06,usd,1.9991999999999999,2.11
2014-06-11,usd,2.0256,2.1375
2014-06-18,usd,2.052,2.165
2014-06-23,usd,2.052,2.1375
2014-07-12,usd,2.0256,2.1375
2014-07-19,usd,2.0256,2.11
2014-07-22,usd,1.9991999999999999,2.0825
2014-07-25,usd,1.9728,2.055
2014-07-30,usd,1.9463999999999997,2.0275
2014-08-01,usd,1.92,2.0
2014-08-04,usd,1.8912,1.97
2014-08-07,usd,1.8384,1.9425
