,currency,value,value_high
2013-01-01,usd,0.4,0.4
2013-01-20,usd,0.4,0.4
2013-02-03,usd,0.38,0.4
2013-02-19,usd,0.36,0.38
2013-03-04,usd,0.35,0.37
2013-03-16,usd,0.35,0.35
2013-06-21,usd,0.33,0.35
2013-08-24,usd,0.31,0.33
2013-09-15,usd,0.3,0.32
2013-10-13,usd,0.3,0.31
2013-10-24,usd,0.3,0.32
2013-11-17,usd,0.31,0.32
2013-12-02,usd,0.3,0.32
2014-01-09,usd,0.29,0.3
2014-02-17,usd,0.26,0.28
2014-03-29,usd,0.25,0.26
2014-04-27,usd,0.25,0.25
2014-05-17,usd,0.24,0.25
2014-10-22,usd,0.21,0.23
2014-11-13,usd,0.19,0.21
2014-12-05,usd,0.17,0.18
2014-12-14,usd,0.16,0.17
2014-12-26,usd,0.16,0.16
2015-01-22,usd,0.15,0.15
2015-02-11,usd,0.13,0.15
2015-03-03,usd,0.12,0.12
2015-03-22,usd,0.11,0.12
2015-04-03,usd,0.1,0.1
2015-04-17,usd,0.11,0.12
2015-05-08,usd,0.12,0.12
2015-06-28,usd,0.11,0.12
2015-07-13,usd,0.12,0.13
2016-01-28,usd,0.11,0.13
